,rank,title,author,format,pages,rating,score,votes,release_date,new_release_date
0,1,To Kill a Mockingbird,Harper Lee,Paperback,324 pages,"4.28 avg rating — 4,501,075 ratings","score: 2,314,743","23,465 people voted",(first published July 11th 1960),"Published
        May 23rd 2006
         by Harper Perennial Modern Classics 

            
              (first published July 11th 1960)"
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,Hardcover,309 pages,"4.47 avg rating — 7,049,026 ratings","score: 1,776,963","18,119 people voted",(first published June 26th 1997),"Published
        November 1st 2003
         by Scholastic Inc

            
              (first published June 26th 1997)"
2,3,1984,George Orwell,Kindle Edition,237 pages,"4.19 avg rating — 3,140,442 ratings","score: 1,645,480","16,814 people voted",(first published June 8th 1949),"Published
        September 3rd 2013
         by Houghton Mifflin Harcourt

            
              (first published June 8th 1949)"
3,4,Pride and Prejudice,Jane Austen,Paperback,279 pages,"4.26 avg rating — 2,998,241 ratings","score: 1,417,523","14,515 people voted",(first published January 28th 1813),"Published
        October 10th 2000
         by Modern Library

            
              (first published January 28th 1813)"
4,5,The Diary of a Young Girl,Anne Frank,Mass Market Paperback,283 pages,"4.15 avg rating — 2,741,166 ratings","score: 1,349,093","13,817 people voted",(first published June 25th 1947),"Published
        July 1993
         by Bantam

            
              (first published June 25th 1947)"
5,6,Animal Farm,George Orwell,Mass Market Paperback,141 pages,"3.95 avg rating — 2,740,713 ratings","score: 999,244","10,356 people voted",(first published August 17th 1945),"Published
        April 1996
         by Signet Classics

            
              (first published August 17th 1945)"
6,7,The Little Prince,Antoine de Saint-Exupéry,Paperback,93 pages,"4.31 avg rating — 1,363,048 ratings","score: 950,241","9,849 people voted",(first published April 6th 1943),"Published
        June 29th 2000
         by Harcourt, Inc.

            
              (first published April 6th 1943)"
7,8,The Great Gatsby,F. Scott Fitzgerald,Paperback,200 pages,"3.92 avg rating — 3,775,504 ratings","score: 887,982","9,287 people voted",(first published April 10th 1925),"Published
        September 2004
         by Scribner

            
              (first published April 10th 1925)"
8,9,The Catcher in the Rye,J.D. Salinger,Paperback,277 pages,"3.81 avg rating — 2,736,142 ratings","score: 847,174","8,803 people voted",(first published July 16th 1951),"Published
        January 30th 2001
         by Back Bay Books

            
              (first published July 16th 1951)"
9,10,The Lord of the Rings,J.R.R. Tolkien,Paperback,1216 pages,"4.50 avg rating — 564,787 ratings","score: 777,471","8,200 people voted",(first published October 20th 1955),"Published
        October 12th 2005
         by Houghton Mifflin Harcourt

            
              (first published October 20th 1955)"
10,11,The Book Thief,Markus Zusak,Hardcover,552 pages,"4.37 avg rating — 1,834,276 ratings","score: 752,352","7,949 people voted",(first published September 1st 2005),"Published
        March 14th 2006
         by Alfred A. Knopf

            
              (first published September 1st 2005)"
11,12,Jane Eyre,Charlotte Brontë,Paperback,532 pages,"4.13 avg rating — 1,624,682 ratings","score: 750,976","7,921 people voted",(first published October 16th 1847),"Published
        February 4th 2003
         by Penguin

            
              (first published October 16th 1847)"
12,13,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,Paperback,767 pages,"4.26 avg rating — 517,747 ratings","score: 706,203","7,442 people voted",(first published 1956),"Published
        September 16th 2002
         by HarperCollins

            
              (first published 1956)"
13,14,Lord of the Flies,William Golding,Paperback,182 pages,"3.69 avg rating — 2,263,259 ratings","score: 685,909","7,289 people voted",(first published September 17th 1954),"Published
        October 1st 1999
         by Penguin Books 

            
              (first published September 17th 1954)"
14,15,Romeo and Juliet,William Shakespeare,Paperback,301 pages,"3.75 avg rating — 2,055,110 ratings","score: 685,264","7,247 people voted",(first published 1595),"Published
        January 1st 2004
         by Simon Schuster

            
              (first published 1595)"
15,16,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,Hardcover,759 pages,"4.62 avg rating — 2,811,460 ratings","score: 668,376","7,127 people voted",NA,"Published
        July 21st 2007
         by Arthur A. Levine Books / Scholastic Inc."
